mode: count
ddsheetfinal/main.go:10.13,11.22 1 0
ddsheetfinal/main.go:11.22,14.3 2 0
ddsheetfinal/main.go:17.2,28.17 4 0
ddsheetfinal/main.go:29.16,30.39 1 0
ddsheetfinal/main.go:31.14,32.37 1 0
ddsheetfinal/main.go:33.14,34.37 1 0
ddsheetfinal/main.go:35.16,36.39 1 0
ddsheetfinal/main.go:37.15,38.38 1 0
ddsheetfinal/main.go:39.17,40.40 1 0
ddsheetfinal/main.go:41.32,42.45 1 0
ddsheetfinal/main.go:43.21,44.43 1 0
ddsheetfinal/main.go:45.26,46.48 1 0
ddsheetfinal/main.go:47.14,48.37 1 0
ddsheetfinal/main.go:49.15,50.38 1 0
ddsheetfinal/main.go:51.16,52.39 1 0
ddsheetfinal/main.go:53.10,55.13 2 0
ddsheetfinal/internal/application/dtos/mapper.go:9.61,10.17 1 0
ddsheetfinal/internal/application/dtos/mapper.go:10.17,12.3 1 0
ddsheetfinal/internal/application/dtos/mapper.go:14.2,35.3 1 0
ddsheetfinal/internal/application/dtos/mapper.go:39.63,40.16 1 0
ddsheetfinal/internal/application/dtos/mapper.go:40.16,42.3 1 0
ddsheetfinal/internal/application/dtos/mapper.go:44.2,65.3 1 0
ddsheetfinal/internal/application/dtos/mapper.go:69.59,73.2 1 0
ddsheetfinal/internal/application/dtos/mapper.go:76.45,77.16 1 0
ddsheetfinal/internal/application/dtos/mapper.go:77.16,79.3 1 0
ddsheetfinal/internal/application/dtos/mapper.go:80.2,82.12 3 0
ddsheetfinal/internal/domain/entities/character.go:34.57,35.17 1 7
ddsheetfinal/internal/domain/entities/character.go:36.13,37.15 1 1
ddsheetfinal/internal/domain/entities/character.go:38.13,39.15 1 1
ddsheetfinal/internal/domain/entities/character.go:40.13,41.15 1 1
ddsheetfinal/internal/domain/entities/character.go:42.13,43.15 1 1
ddsheetfinal/internal/domain/entities/character.go:44.13,45.15 1 1
ddsheetfinal/internal/domain/entities/character.go:46.13,47.15 1 1
ddsheetfinal/internal/domain/entities/character.go:48.10,49.12 1 1
ddsheetfinal/internal/domain/entities/character.go:54.60,55.41 1 6
ddsheetfinal/internal/domain/entities/character.go:55.41,56.17 1 12
ddsheetfinal/internal/domain/entities/character.go:56.17,58.4 1 3
ddsheetfinal/internal/domain/entities/character.go:60.2,60.14 1 3
ddsheetfinal/internal/application/usecases/create_character.go:18.104,22.2 1 5
ddsheetfinal/internal/application/usecases/create_character.go:25.102,27.22 1 7
ddsheetfinal/internal/application/usecases/create_character.go:27.22,29.3 1 1
ddsheetfinal/internal/application/usecases/create_character.go:30.2,30.22 1 6
ddsheetfinal/internal/application/usecases/create_character.go:30.22,32.3 1 1
ddsheetfinal/internal/application/usecases/create_character.go:33.2,33.23 1 5
ddsheetfinal/internal/application/usecases/create_character.go:33.23,35.3 1 1
ddsheetfinal/internal/application/usecases/create_character.go:38.2,39.16 2 4
ddsheetfinal/internal/application/usecases/create_character.go:39.16,41.3 1 0
ddsheetfinal/internal/application/usecases/create_character.go:44.2,66.57 4 4
ddsheetfinal/internal/application/usecases/create_character.go:66.57,68.3 1 0
ddsheetfinal/internal/application/usecases/create_character.go:70.2,70.44 1 4
ddsheetfinal/internal/application/usecases/create_character.go:73.99,81.27 4 4
ddsheetfinal/internal/application/usecases/create_character.go:81.27,82.94 1 0
ddsheetfinal/internal/application/usecases/create_character.go:82.94,84.4 1 0
ddsheetfinal/internal/application/usecases/create_character.go:85.8,87.3 1 4
ddsheetfinal/internal/application/usecases/create_character.go:90.2,92.20 2 4
ddsheetfinal/internal/application/usecases/create_character.go:95.88,98.29 3 4
ddsheetfinal/internal/application/usecases/create_character.go:98.29,100.3 1 0
ddsheetfinal/internal/application/usecases/create_character.go:101.2,101.15 1 4
ddsheetfinal/internal/application/usecases/create_character.go:104.124,107.32 3 0
ddsheetfinal/internal/application/usecases/create_character.go:107.32,109.3 1 0
ddsheetfinal/internal/application/usecases/create_character.go:111.2,111.31 1 0
ddsheetfinal/internal/application/usecases/create_character.go:111.31,113.33 2 0
ddsheetfinal/internal/application/usecases/create_character.go:113.33,115.4 1 0
ddsheetfinal/internal/application/usecases/create_character.go:116.3,116.40 1 0
ddsheetfinal/internal/application/usecases/create_character.go:120.2,121.35 2 0
ddsheetfinal/internal/application/usecases/create_character.go:121.35,123.3 1 0
ddsheetfinal/internal/application/usecases/create_character.go:125.2,125.12 1 0
ddsheetfinal/internal/application/usecases/create_character.go:128.94,132.57 3 4
ddsheetfinal/internal/application/usecases/create_character.go:132.57,134.3 1 8
ddsheetfinal/internal/application/usecases/create_character.go:137.125,142.9 4 4
ddsheetfinal/internal/application/usecases/create_character.go:142.9,144.3 1 0
ddsheetfinal/internal/application/usecases/create_character.go:146.2,146.38 1 4
ddsheetfinal/internal/application/usecases/create_character.go:146.38,147.18 1 14
ddsheetfinal/internal/application/usecases/create_character.go:148.14,149.16 1 2
ddsheetfinal/internal/application/usecases/create_character.go:150.14,151.16 1 3
ddsheetfinal/internal/application/usecases/create_character.go:152.14,153.16 1 3
ddsheetfinal/internal/application/usecases/create_character.go:154.14,155.21 1 2
ddsheetfinal/internal/application/usecases/create_character.go:156.14,157.16 1 2
ddsheetfinal/internal/application/usecases/create_character.go:158.14,159.16 1 2
ddsheetfinal/internal/application/usecases/create_character.go:163.2,163.8 1 4
ddsheetfinal/internal/application/usecases/delete_character.go:11.104,15.2 1 2
ddsheetfinal/internal/application/usecases/delete_character.go:18.62,20.2 1 2
ddsheetfinal/internal/application/usecases/derive_stats.go:20.32,25.2 1 2
ddsheetfinal/internal/application/usecases/derive_stats.go:28.101,31.16 2 2
ddsheetfinal/internal/application/usecases/derive_stats.go:31.16,33.3 1 1
ddsheetfinal/internal/application/usecases/derive_stats.go:36.2,57.65 15 1
ddsheetfinal/internal/application/usecases/derive_stats.go:57.65,59.3 1 1
ddsheetfinal/internal/application/usecases/derive_stats.go:60.2,60.66 1 1
ddsheetfinal/internal/application/usecases/derive_stats.go:60.66,62.3 1 0
ddsheetfinal/internal/application/usecases/derive_stats.go:63.2,63.69 1 1
ddsheetfinal/internal/application/usecases/derive_stats.go:63.69,65.3 1 1
ddsheetfinal/internal/application/usecases/derive_stats.go:66.2,66.69 1 1
ddsheetfinal/internal/application/usecases/derive_stats.go:66.69,68.3 1 0
ddsheetfinal/internal/application/usecases/derive_stats.go:69.2,69.63 1 1
ddsheetfinal/internal/application/usecases/derive_stats.go:69.63,71.3 1 0
ddsheetfinal/internal/application/usecases/derive_stats.go:72.2,72.65 1 1
ddsheetfinal/internal/application/usecases/derive_stats.go:72.65,74.3 1 0
ddsheetfinal/internal/application/usecases/derive_stats.go:76.2,100.8 3 1
ddsheetfinal/internal/application/usecases/enrich_character.go:44.27,49.2 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:52.124,57.16 4 0
ddsheetfinal/internal/application/usecases/enrich_character.go:57.16,59.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:61.2,72.20 7 0
ddsheetfinal/internal/application/usecases/enrich_character.go:72.20,74.61 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:74.61,82.4 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:86.2,93.39 4 0
ddsheetfinal/internal/application/usecases/enrich_character.go:93.39,95.58 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:95.58,97.12 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:99.3,99.64 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:103.2,103.39 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:103.39,105.58 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:105.58,107.12 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:109.3,109.68 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:113.2,119.33 4 0
ddsheetfinal/internal/application/usecases/enrich_character.go:119.33,120.24 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:120.24,122.12 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:125.3,125.52 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:125.52,129.4 3 0
ddsheetfinal/internal/application/usecases/enrich_character.go:129.9,129.63 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:129.63,133.4 3 0
ddsheetfinal/internal/application/usecases/enrich_character.go:137.2,137.39 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:137.39,139.45 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:139.45,140.55 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:140.55,142.5 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:145.2,145.39 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:145.39,147.45 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:147.45,148.58 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:148.58,150.5 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:155.2,170.16 7 0
ddsheetfinal/internal/application/usecases/enrich_character.go:170.16,172.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:174.2,181.8 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:185.81,187.2 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:191.88,195.36 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:195.36,197.18 2 0
